,global_id,PERIOD,WORK_NAME,NUM_ENTRANCE,ElevatorNumber,AdmArea,District,Address,UNOM,PLAN_DATE_START_year,PLAN_DATE_START_month,PLAN_DATE_START_day,PLAN_DATE_END_year,PLAN_DATE_END_month,PLAN_DATE_END_day,FACT_DATE_START_year,FACT_DATE_START_month,FACT_DATE_START_day,FACT_DATE_END_year,FACT_DATE_END_month,FACT_DATE_END_day,incident_name,source,external_create_date_year,external_create_date_month,external_create_date_day,done_date_year,done_date_month,done_date_day,close_date_year,close_date_month,close_date_day,build_year,ownership,reconst_year,project_series,floars,entrances,apartments,total_area,living_area,nonliving_area,construction_volume,depreciation_object,energyefficiency_class,wall_material,sign_building_failure,passenger_elevators,passenger_freight_elevators,roof_cleaning,COL_781,type_social_object,type_housing_stock,status_MKD,management_status_MKD,freight_elevators,reason_changing_status_MKD,category_MKD
0,351060,2022,zamena_liftovogo_oborudovaniia,1.0,1,vostochnyi_administrativnyi_okrug,bogorodskoe,ivanteevskaia_1,20151,2022,7,15,2022,8,28,2022,6,27,2022,10,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,430496,2022,zamena_liftovogo_oborudovaniia,1.0,1,vostochnyi_administrativnyi_okrug,bogorodskoe,ivanteevskaia_1,20151,2022,9,30,2022,10,14,2022,9,30,2022,10,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,348580,2022,remont_vnutridomovykh_inzhenernykh_sistem_vodootvedeniia_kanalizatsii_vypuski_i_sbornye_truboprovody,0.0,0,vostochnyi_administrativnyi_okrug,bogorodskoe,krasnobogatyrskaia_21,11466,2022,2,21,2022,6,20,2022,2,1,2022,5,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,348581,2022,remont_vnutridomovykh_inzhenernykh_sistem_teplosnabzheniia_razvodiashchie_magistrali,0.0,0,vostochnyi_administrativnyi_okrug,bogorodskoe,krasnobogatyrskaia_21,11466,2022,4,21,2022,7,10,2022,5,7,2022,8,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,348578,2022,remont_vnutridomovykh_inzhenernykh_sistem_kholodnogo_vodosnabzheniia_razvodiashchie_magistrali,0.0,0,vostochnyi_administrativnyi_okrug,bogorodskoe,krasnobogatyrskaia_21,11466,2022,2,21,2022,6,20,2022,2,1,2022,6,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,348579,2022,remont_vnutridomovykh_inzhenernykh_sistem_goriachego_vodosnabzheniia_razvodiashchie_magistrali,0.0,0,vostochnyi_administrativnyi_okrug,bogorodskoe,krasnobogatyrskaia_21,11466,2022,2,21,2022,6,20,2022,2,1,2022,6,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,348577,2022,remont_podvalnykh_pomeshchenii_otnosiashchikhsia_k_obshchemu_imushchestvu_v_mnogokvartirnom_dome,0.0,0,vostochnyi_administrativnyi_okrug,bogorodskoe,krasnobogatyrskaia_21,11466,2022,5,21,2022,9,30,2022,3,7,2022,11,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,394514,2022,remont_podvalnykh_pomeshchenii_otnosiashchikhsia_k_obshchemu_imushchestvu_v_mnogokvartirnom_dome,0.0,0,vostochnyi_administrativnyi_okrug,bogorodskoe,boitsovaia_4_37,2328,2022,5,11,2022,9,10,2022,5,24,2022,10,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,347989,2022,zamena_liftovogo_oborudovaniia,3.0,3,vostochnyi_administrativnyi_okrug,bogorodskoe,igralnaia_10,8576,2022,7,15,2022,8,28,2022,6,27,2022,10,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,353402,2022,remont_vnutridomovykh_inzhenernykh_sistem_gazosnabzheniia,0.0,0,vostochnyi_administrativnyi_okrug,ivanovskoe,stalevarov_18,24608,2022,5,21,2022,9,30,2022,9,15,2022,11,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
